Source:,LMS8001_Companion_3v2,,,,,,,,,,
Component Count:,350,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Component Value,Qty,Reference(s),Footprint,Value,Assemble,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
53,10K,5,"R2, R18, R19, R20, R41",LMS8001_KiCAD_Library:SMD0402,10K_0402,,RES 10K OHM 1/16W 1% 0402,Stackpole Electronics Inc,RMCF0402FT10K0,Digi-Key,RMCF0402FT10K0CT-ND
54,10K,7,"R3, R10, R11, R12, R14, R15, R70",LMS8001_KiCAD_Library:SMD0402,10K_0402,,RES 10K OHM 1/16W 5% 0402,Yageo,RC0402JR-0710KL,Digi-Key,311-10KJRCT-ND
55,22R,2,"R4, R5",LMS8001_KiCAD_Library:SMD0402,22R_0402,,"RES, 22.0 OHM, 1/16W, 1%, 0402, SMD,",Yageo,RC0402FR-0722RL,Digi-Key,311-22.0LRCT-ND
56,470R,5,"R6, R7, R8, R16, R67",LMS8001_KiCAD_Library:SMD0402,470R_0402,,"RES, 470 OHM, 1/16W, .5%, 0402 SMD,",Panasonic Electronic Components,ERA-2AED471X,Digi-Key,P470DECT-ND
57,330R,10,"R9, R17, R21, R22, R23, R24, R25, R26, R27, R28",LMS8001_KiCAD_Library:SMD0402,330R_0402,,"RES, 330 OHM, 1/16W, 5%, 0402, SMD,",Yageo,RC0402JR-07330RL,Digi-Key,311-330JRCT-ND
58,1M,1,R13,LMS8001_KiCAD_Library:SMD0402,1M_0402,,"RES, 1.00M OHM, 1/16W, 1%, 0402, SMD,",Yageo,RC0402FR-071ML,Digi-Key,311-1.00MLRCT-ND
59,28K4,2,"R29, R30",LMS8001_KiCAD_Library:SMD0402,28K4_0402,,"Thin Film Resistors - SMD 28.4kOhm,0402,1%,50p pm,63mW,50V",KOA Speer,RN73H1ETTP2842F50,Mouser,660-RN73H1ETP2842F50
60,110K,1,R31,LMS8001_KiCAD_Library:SMD0402,110K_0402,,RES_SMD_110K_OHM_5%_1/16W_0402,Yageo,RC0402JR-07110KL,Digi-Key,311-110KJRCT-ND
61,34K8,3,"R32, R34, R36",LMS8001_KiCAD_Library:SMD0402,34K8_0402,,RES_SMD_34.8K_OHM_1%_1/16W_0402,Yageo,RC0402FR-0734K8L,Digi-Key,YAG3125CT-ND
62,23K2,1,R33,LMS8001_KiCAD_Library:SMD0402,23K2_0402,,RES_SMD_23.2K_OHM_1%_1/16W_0402,Yageo,RC0402FR-0723K2L,Digi-Key,YAG3066CT-ND
63,44K2,1,R35,LMS8001_KiCAD_Library:SMD0402,44K2_0402,,RES_SMD_44.2K_OHM_1%_1/16W_0402,Yageo,RC0402FR-0744K2L,Digi-Key,YAG3163CT-ND
